/home/jiahao/miniconda3/envs/irra/lib/python3.9/site-packages/torch/nn/functional.py:3609: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn(
Not using distributed mode
### Hyper-parameters:
     output_dir: output_rerun/ham_icfg_tta/exp0.1.4/2025091017384
     seed: 42
     device: cuda
     batch_size_tta: 32
     epochs: 30
     lr: 0.001
### Creating test dataset
     test_txt_set: 19848    test_img_set: 19848
     test_txt_loader: 39    test_img_loader: 39
### Creating model
Training Model with ['sdm', 'id', 'mlm'] tasks
Resized position embedding from size:torch.Size([1, 197, 768]) to size: torch.Size([1, 193, 768]) with height:24 width: 8
     Total Params Sum:  190482206
### Zero-Shot Score: 
+-------+--------+--------+--------+--------+-------+
| epoch |   R1   |   R5   |  R10   |  mAP   |  mINP |
+-------+--------+--------+--------+--------+-------+
|  -999 | 60.641 | 77.509 | 83.268 | 35.542 | 6.004 |
+-------+--------+--------+--------+--------+-------+
### TTA:
### Compute Cos Similarity Uncertainty
     preprocess_tta_coefficients  start
     sample selection ...
     number of sample after sample_selection: 19848
     uncertainty ...
     pos/neg sampling ...
      number of sample after pos/neg sampling: torch.Size([19848, 4])
     preprocess_tta_coefficients  end
### Creating TTA dataset
     tta_dataset: 19848
### Creating tta dataloader
### be careful: func create_loader returns a list length of 1
     tta_loader: 620
### Configure adapted weights
     TTA Dropout Modules: 
 []
     TTA Require Gradient Params: 
 [('base_model.transformer.resblocks.1.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.bias', torch.Size([512])), ('base_model.ln_final.weight', torch.Size([512])), ('base_model.ln_final.bias', torch.Size([512]))]
     TTA Dropout Modules Number: 
 0
     TTA Require Gradient Params Sum: 
 21504
Using 5.0 times learning rate for random init module 
### Start Test Time Adaptation
     Epoch[0] Iteration[10/620], entropy: 0.4627, loss: 0.4627, lr: 9.05e-04
     Epoch[0] Iteration[20/620], entropy: 0.3225, loss: 0.3225, lr: 3.45e-04
     Epoch[0] Iteration[30/620], entropy: 0.3345, loss: 0.3345, lr: 0.00e+00
     Epoch[0] Iteration[40/620], entropy: 0.2530, loss: 0.2530, lr: 3.45e-04
     Epoch[0] Iteration[50/620], entropy: 0.3379, loss: 0.3379, lr: 9.05e-04
     Epoch[0] Iteration[60/620], entropy: 0.3001, loss: 0.3001, lr: 9.05e-04
     Epoch[0] Iteration[70/620], entropy: 0.3099, loss: 0.3099, lr: 3.45e-04
     Epoch[0] Iteration[80/620], entropy: 0.3853, loss: 0.3853, lr: 0.00e+00
     Epoch[0] Iteration[90/620], entropy: 0.3140, loss: 0.3140, lr: 3.45e-04
     Epoch[0] Iteration[100/620], entropy: 0.2781, loss: 0.2781, lr: 9.05e-04
     Epoch[0] Iteration[110/620], entropy: 0.3008, loss: 0.3008, lr: 9.05e-04
     Epoch[0] Iteration[120/620], entropy: 0.4011, loss: 0.4011, lr: 3.45e-04
     Epoch[0] Iteration[130/620], entropy: 0.2626, loss: 0.2626, lr: 0.00e+00
     Epoch[0] Iteration[140/620], entropy: 0.3593, loss: 0.3593, lr: 3.45e-04
     Epoch[0] Iteration[150/620], entropy: 0.2550, loss: 0.2550, lr: 9.05e-04
     Epoch[0] Iteration[160/620], entropy: 0.2897, loss: 0.2897, lr: 9.05e-04
     Epoch[0] Iteration[170/620], entropy: 0.2810, loss: 0.2810, lr: 3.45e-04
     Epoch[0] Iteration[180/620], entropy: 0.4087, loss: 0.4087, lr: 0.00e+00
     Epoch[0] Iteration[190/620], entropy: 0.2804, loss: 0.2804, lr: 3.45e-04
     Epoch[0] Iteration[200/620], entropy: 0.2891, loss: 0.2891, lr: 9.05e-04
     Epoch[0] Iteration[210/620], entropy: 0.2894, loss: 0.2894, lr: 9.05e-04
     Epoch[0] Iteration[220/620], entropy: 0.2672, loss: 0.2672, lr: 3.45e-04
     Epoch[0] Iteration[230/620], entropy: 0.3472, loss: 0.3472, lr: 0.00e+00
     Epoch[0] Iteration[240/620], entropy: 0.2298, loss: 0.2298, lr: 3.45e-04
     Epoch[0] Iteration[250/620], entropy: 0.3345, loss: 0.3345, lr: 9.05e-04
     Epoch[0] Iteration[260/620], entropy: 0.2333, loss: 0.2333, lr: 9.05e-04
     Epoch[0] Iteration[270/620], entropy: 0.2626, loss: 0.2626, lr: 3.45e-04
     Epoch[0] Iteration[280/620], entropy: 0.3170, loss: 0.3170, lr: 0.00e+00
     Epoch[0] Iteration[290/620], entropy: 0.3042, loss: 0.3042, lr: 3.45e-04
     Epoch[0] Iteration[300/620], entropy: 0.2550, loss: 0.2550, lr: 9.05e-04
     Epoch[0] Iteration[310/620], entropy: 0.3525, loss: 0.3525, lr: 9.05e-04
     Epoch[0] Iteration[320/620], entropy: 0.3322, loss: 0.3322, lr: 3.45e-04
     Epoch[0] Iteration[330/620], entropy: 0.2387, loss: 0.2387, lr: 0.00e+00
     Epoch[0] Iteration[340/620], entropy: 0.2747, loss: 0.2747, lr: 3.45e-04
     Epoch[0] Iteration[350/620], entropy: 0.2816, loss: 0.2816, lr: 9.05e-04
     Epoch[0] Iteration[360/620], entropy: 0.3068, loss: 0.3068, lr: 9.05e-04
     Epoch[0] Iteration[370/620], entropy: 0.2452, loss: 0.2452, lr: 3.45e-04
     Epoch[0] Iteration[380/620], entropy: 0.2246, loss: 0.2246, lr: 0.00e+00
     Epoch[0] Iteration[390/620], entropy: 0.2762, loss: 0.2762, lr: 3.45e-04
     Epoch[0] Iteration[400/620], entropy: 0.3010, loss: 0.3010, lr: 9.05e-04
     Epoch[0] Iteration[410/620], entropy: 0.3423, loss: 0.3423, lr: 9.05e-04
     Epoch[0] Iteration[420/620], entropy: 0.4219, loss: 0.4219, lr: 3.45e-04
     Epoch[0] Iteration[430/620], entropy: 0.1934, loss: 0.1934, lr: 0.00e+00
     Epoch[0] Iteration[440/620], entropy: 0.2331, loss: 0.2331, lr: 3.45e-04
     Epoch[0] Iteration[450/620], entropy: 0.2816, loss: 0.2816, lr: 9.05e-04
     Epoch[0] Iteration[460/620], entropy: 0.2775, loss: 0.2775, lr: 9.05e-04
     Epoch[0] Iteration[470/620], entropy: 0.3032, loss: 0.3032, lr: 3.45e-04
     Epoch[0] Iteration[480/620], entropy: 0.1912, loss: 0.1912, lr: 0.00e+00
     Epoch[0] Iteration[490/620], entropy: 0.2433, loss: 0.2433, lr: 3.45e-04
