/home/user/yc57963/miniconda3/envs/irra/lib/python3.9/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Not using distributed mode
### Hyper-parameters:
     output_dir: output_rerun2/ham_icfg_tta/exp16/exp16.0/2025091823140
     seed: 42
     device: cuda
     batch_size_tta: 16
     epochs: 10
     lr: 5e-05
### Creating test dataset
     test_txt_set: 19848    test_img_set: 19848
     test_txt_loader: 39    test_img_loader: 39
### Creating model
Training Model with ['sdm', 'id', 'mlm'] tasks
Resized position embedding from size:torch.Size([1, 197, 768]) to size: torch.Size([1, 193, 768]) with height:24 width: 8
     Total Params Sum:  190482206
### Zero-Shot Score: 
/home/user/yc57963/miniconda3/envs/irra/lib/python3.9/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
/home/user/yc57963/task/IRRA/tta.py:284: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()  # bf16
+-------+--------+--------+--------+--------+-------+
| epoch |   R1   |   R5   |  R10   |  mAP   |  mINP |
+-------+--------+--------+--------+--------+-------+
|  -999 | 60.641 | 77.499 | 83.248 | 35.543 | 6.005 |
+-------+--------+--------+--------+--------+-------+
### TTA:
### Compute Cos Similarity Uncertainty
     preprocess_tta_coefficients  start
     sample selection ...
     number of sample after sample_selection: 15909
     uncertainty ...
     pos/neg sampling ...
      number of sample after pos/neg sampling: torch.Size([19848, 8])
     preprocess_tta_coefficients  end
### Creating TTA dataset
     tta_dataset: 15909
### Creating tta dataloader
### be careful: func create_loader returns a list length of 1
     tta_loader: 994
### Configure adapted weights
     TTA Dropout Modules: 
 []
     TTA Require Gradient Params: 
 [('base_model.transformer.resblocks.1.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.bias', torch.Size([512])), ('base_model.ln_final.weight', torch.Size([512])), ('base_model.ln_final.bias', torch.Size([512]))]
     TTA Dropout Modules Number: 
 0
     TTA Require Gradient Params Sum: 
 21504
Using 5.0 times learning rate for random init module 
### Start Test Time Adaptation : num_epoch = 10
/home/user/yc57963/task/IRRA/tta.py:67: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=True):
     Epoch[0] Iteration[10/994], entropy: 1.2190, uncertainty: 4.7900, uncertainty_coeffi: 0.0100, loss: 0.4802, lr: 4.77e-06
     Epoch[0] Iteration[20/994], entropy: 1.1639, uncertainty: 5.9356, uncertainty_coeffi: 0.0100, loss: 0.3493, lr: 4.77e-06
     Epoch[0] Iteration[30/994], entropy: 0.9345, uncertainty: 3.7411, uncertainty_coeffi: 0.0100, loss: 0.4586, lr: 4.77e-06
     Epoch[0] Iteration[40/994], entropy: 1.0177, uncertainty: 4.3891, uncertainty_coeffi: 0.0100, loss: 0.4837, lr: 4.77e-06
     Epoch[0] Iteration[50/994], entropy: 1.2688, uncertainty: 5.3906, uncertainty_coeffi: 0.0100, loss: 0.5743, lr: 4.77e-06
     Epoch[0] Iteration[60/994], entropy: 1.0912, uncertainty: 4.2407, uncertainty_coeffi: 0.0100, loss: 0.5680, lr: 4.77e-06
     Epoch[0] Iteration[70/994], entropy: 1.1186, uncertainty: 5.5087, uncertainty_coeffi: 0.0100, loss: 0.3221, lr: 4.77e-06
     Epoch[0] Iteration[80/994], entropy: 1.0904, uncertainty: 5.3514, uncertainty_coeffi: 0.0100, loss: 0.4099, lr: 4.77e-06
     Epoch[0] Iteration[90/994], entropy: 1.0866, uncertainty: 4.9884, uncertainty_coeffi: 0.0100, loss: 0.4113, lr: 4.77e-06
     Epoch[0] Iteration[100/994], entropy: 0.7881, uncertainty: 4.5738, uncertainty_coeffi: 0.0100, loss: 0.3107, lr: 4.77e-06
     Epoch[0] Iteration[110/994], entropy: 0.9637, uncertainty: 5.9244, uncertainty_coeffi: 0.0100, loss: 0.3948, lr: 4.77e-06
     Epoch[0] Iteration[120/994], entropy: 0.8721, uncertainty: 5.1466, uncertainty_coeffi: 0.0100, loss: 0.2963, lr: 4.77e-06
     Epoch[0] Iteration[130/994], entropy: 1.0404, uncertainty: 6.0310, uncertainty_coeffi: 0.0100, loss: 0.2626, lr: 4.77e-06
     Epoch[0] Iteration[140/994], entropy: 1.0930, uncertainty: 5.1788, uncertainty_coeffi: 0.0100, loss: 0.4692, lr: 4.77e-06
     Epoch[0] Iteration[150/994], entropy: 0.9608, uncertainty: 4.0581, uncertainty_coeffi: 0.0100, loss: 0.4646, lr: 4.77e-06
     Epoch[0] Iteration[160/994], entropy: 1.1542, uncertainty: 5.8433, uncertainty_coeffi: 0.0100, loss: 0.3568, lr: 4.77e-06
     Epoch[0] Iteration[170/994], entropy: 0.8481, uncertainty: 6.1792, uncertainty_coeffi: 0.0100, loss: 0.2801, lr: 4.77e-06
     Epoch[0] Iteration[180/994], entropy: 0.8993, uncertainty: 4.5834, uncertainty_coeffi: 0.0100, loss: 0.3986, lr: 4.77e-06
     Epoch[0] Iteration[190/994], entropy: 0.9673, uncertainty: 6.1738, uncertainty_coeffi: 0.0100, loss: 0.2901, lr: 4.77e-06
     Epoch[0] Iteration[200/994], entropy: 1.0465, uncertainty: 4.4252, uncertainty_coeffi: 0.0100, loss: 0.4243, lr: 4.77e-06
     Epoch[0] Iteration[210/994], entropy: 1.2971, uncertainty: 4.9977, uncertainty_coeffi: 0.0100, loss: 0.4817, lr: 4.77e-06
     Epoch[0] Iteration[220/994], entropy: 1.1208, uncertainty: 5.4791, uncertainty_coeffi: 0.0100, loss: 0.3700, lr: 4.77e-06
     Epoch[0] Iteration[230/994], entropy: 1.1575, uncertainty: 4.7205, uncertainty_coeffi: 0.0100, loss: 0.3714, lr: 4.77e-06
     Epoch[0] Iteration[240/994], entropy: 1.2002, uncertainty: 5.7189, uncertainty_coeffi: 0.0100, loss: 0.3151, lr: 4.77e-06
     Epoch[0] Iteration[250/994], entropy: 1.1986, uncertainty: 4.1320, uncertainty_coeffi: 0.0100, loss: 0.6201, lr: 4.77e-06
     Epoch[0] Iteration[260/994], entropy: 1.0989, uncertainty: 5.0452, uncertainty_coeffi: 0.0100, loss: 0.3348, lr: 4.77e-06
     Epoch[0] Iteration[270/994], entropy: 1.1040, uncertainty: 5.4108, uncertainty_coeffi: 0.0100, loss: 0.3319, lr: 4.77e-06
     Epoch[0] Iteration[280/994], entropy: 1.1641, uncertainty: 6.0151, uncertainty_coeffi: 0.0100, loss: 0.3594, lr: 4.77e-06
     Epoch[0] Iteration[290/994], entropy: 0.9657, uncertainty: 4.1749, uncertainty_coeffi: 0.0100, loss: 0.3690, lr: 4.77e-06
     Epoch[0] Iteration[300/994], entropy: 1.0543, uncertainty: 4.6100, uncertainty_coeffi: 0.0100, loss: 0.5134, lr: 4.77e-06
     Epoch[0] Iteration[310/994], entropy: 1.1403, uncertainty: 6.1518, uncertainty_coeffi: 0.0100, loss: 0.3709, lr: 4.77e-06
     Epoch[0] Iteration[320/994], entropy: 1.1554, uncertainty: 4.5080, uncertainty_coeffi: 0.0100, loss: 0.5235, lr: 4.77e-06
     Epoch[0] Iteration[330/994], entropy: 1.1696, uncertainty: 4.7048, uncertainty_coeffi: 0.0100, loss: 0.5616, lr: 4.77e-06
     Epoch[0] Iteration[340/994], entropy: 1.1013, uncertainty: 4.8222, uncertainty_coeffi: 0.0100, loss: 0.4507, lr: 4.77e-06
     Epoch[0] Iteration[350/994], entropy: 0.8741, uncertainty: 4.6031, uncertainty_coeffi: 0.0100, loss: 0.4624, lr: 4.77e-06
     Epoch[0] Iteration[360/994], entropy: 0.9995, uncertainty: 4.0927, uncertainty_coeffi: 0.0100, loss: 0.3873, lr: 4.77e-06
     Epoch[0] Iteration[370/994], entropy: 1.1544, uncertainty: 5.7706, uncertainty_coeffi: 0.0100, loss: 0.3788, lr: 4.77e-06
     Epoch[0] Iteration[380/994], entropy: 1.0742, uncertainty: 4.1858, uncertainty_coeffi: 0.0100, loss: 0.4208, lr: 4.77e-06
     Epoch[0] Iteration[390/994], entropy: 1.0968, uncertainty: 6.5560, uncertainty_coeffi: 0.0100, loss: 0.3414, lr: 4.77e-06
     Epoch[0] Iteration[400/994], entropy: 1.1365, uncertainty: 4.3783, uncertainty_coeffi: 0.0100, loss: 0.4789, lr: 4.77e-06
     Epoch[0] Iteration[410/994], entropy: 1.0997, uncertainty: 4.9487, uncertainty_coeffi: 0.0100, loss: 0.4005, lr: 4.77e-06
     Epoch[0] Iteration[420/994], entropy: 1.0041, uncertainty: 4.9678, uncertainty_coeffi: 0.0100, loss: 0.3330, lr: 4.77e-06
     Epoch[0] Iteration[430/994], entropy: 0.9454, uncertainty: 4.6776, uncertainty_coeffi: 0.0100, loss: 0.4227, lr: 4.77e-06
     Epoch[0] Iteration[440/994], entropy: 1.2343, uncertainty: 5.4177, uncertainty_coeffi: 0.0100, loss: 0.4445, lr: 4.77e-06
     Epoch[0] Iteration[450/994], entropy: 1.1604, uncertainty: 5.7894, uncertainty_coeffi: 0.0100, loss: 0.3643, lr: 4.77e-06
     Epoch[0] Iteration[460/994], entropy: 1.0464, uncertainty: 6.4648, uncertainty_coeffi: 0.0100, loss: 0.2360, lr: 4.77e-06
     Epoch[0] Iteration[470/994], entropy: 0.6209, uncertainty: 4.2304, uncertainty_coeffi: 0.0100, loss: 0.3329, lr: 4.77e-06
     Epoch[0] Iteration[480/994], entropy: 1.0968, uncertainty: 6.2207, uncertainty_coeffi: 0.0100, loss: 0.3669, lr: 4.77e-06
     Epoch[0] Iteration[490/994], entropy: 0.8408, uncertainty: 3.5845, uncertainty_coeffi: 0.0100, loss: 0.5742, lr: 4.77e-06
     Epoch[0] Iteration[500/994], entropy: 1.0343, uncertainty: 5.1473, uncertainty_coeffi: 0.0100, loss: 0.4249, lr: 4.77e-06
     Epoch[0] Iteration[510/994], entropy: 1.0200, uncertainty: 6.6056, uncertainty_coeffi: 0.0100, loss: 0.2918, lr: 4.77e-06
     Epoch[0] Iteration[520/994], entropy: 1.2832, uncertainty: 5.8192, uncertainty_coeffi: 0.0100, loss: 0.4625, lr: 4.77e-06
     Epoch[0] Iteration[530/994], entropy: 0.9072, uncertainty: 4.7778, uncertainty_coeffi: 0.0100, loss: 0.3502, lr: 4.77e-06
     Epoch[0] Iteration[540/994], entropy: 1.0848, uncertainty: 5.5637, uncertainty_coeffi: 0.0100, loss: 0.3275, lr: 4.77e-06
     Epoch[0] Iteration[550/994], entropy: 1.1328, uncertainty: 5.4104, uncertainty_coeffi: 0.0100, loss: 0.4359, lr: 4.77e-06
     Epoch[0] Iteration[560/994], entropy: 0.7584, uncertainty: 4.6259, uncertainty_coeffi: 0.0100, loss: 0.3016, lr: 4.77e-06
     Epoch[0] Iteration[570/994], entropy: 1.0780, uncertainty: 4.9310, uncertainty_coeffi: 0.0100, loss: 0.4103, lr: 4.77e-06
     Epoch[0] Iteration[580/994], entropy: 0.9226, uncertainty: 5.3710, uncertainty_coeffi: 0.0100, loss: 0.3376, lr: 4.77e-06
     Epoch[0] Iteration[590/994], entropy: 0.5977, uncertainty: 3.4593, uncertainty_coeffi: 0.0100, loss: 0.2837, lr: 4.77e-06
     Epoch[0] Iteration[600/994], entropy: 1.2785, uncertainty: 6.2198, uncertainty_coeffi: 0.0100, loss: 0.3149, lr: 4.77e-06
     Epoch[0] Iteration[610/994], entropy: 1.2637, uncertainty: 6.1807, uncertainty_coeffi: 0.0100, loss: 0.4161, lr: 4.77e-06
     Epoch[0] Iteration[620/994], entropy: 1.1342, uncertainty: 6.2116, uncertainty_coeffi: 0.0100, loss: 0.2813, lr: 4.77e-06
     Epoch[0] Iteration[630/994], entropy: 1.2907, uncertainty: 5.8801, uncertainty_coeffi: 0.0100, loss: 0.3499, lr: 4.77e-06
     Epoch[0] Iteration[640/994], entropy: 1.1130, uncertainty: 5.1975, uncertainty_coeffi: 0.0100, loss: 0.4776, lr: 4.77e-06
     Epoch[0] Iteration[650/994], entropy: 1.0436, uncertainty: 5.0092, uncertainty_coeffi: 0.0100, loss: 0.3200, lr: 4.77e-06
     Epoch[0] Iteration[660/994], entropy: 1.0540, uncertainty: 5.1655, uncertainty_coeffi: 0.0100, loss: 0.4019, lr: 4.77e-06
     Epoch[0] Iteration[670/994], entropy: 0.9172, uncertainty: 4.5952, uncertainty_coeffi: 0.0100, loss: 0.4191, lr: 4.77e-06
     Epoch[0] Iteration[680/994], entropy: 1.0321, uncertainty: 5.0900, uncertainty_coeffi: 0.0100, loss: 0.3430, lr: 4.77e-06
     Epoch[0] Iteration[690/994], entropy: 0.9397, uncertainty: 5.6362, uncertainty_coeffi: 0.0100, loss: 0.3059, lr: 4.77e-06
     Epoch[0] Iteration[700/994], entropy: 1.1424, uncertainty: 4.6199, uncertainty_coeffi: 0.0100, loss: 0.5075, lr: 4.77e-06
     Epoch[0] Iteration[710/994], entropy: 1.0550, uncertainty: 5.9613, uncertainty_coeffi: 0.0100, loss: 0.2761, lr: 4.77e-06
     Epoch[0] Iteration[720/994], entropy: 1.1725, uncertainty: 5.3745, uncertainty_coeffi: 0.0100, loss: 0.4461, lr: 4.77e-06
     Epoch[0] Iteration[730/994], entropy: 1.0227, uncertainty: 5.0317, uncertainty_coeffi: 0.0100, loss: 0.4083, lr: 4.77e-06
     Epoch[0] Iteration[740/994], entropy: 1.0071, uncertainty: 6.1251, uncertainty_coeffi: 0.0100, loss: 0.3155, lr: 4.77e-06
     Epoch[0] Iteration[750/994], entropy: 0.8896, uncertainty: 4.4688, uncertainty_coeffi: 0.0100, loss: 0.3780, lr: 4.77e-06
     Epoch[0] Iteration[760/994], entropy: 1.1922, uncertainty: 6.1760, uncertainty_coeffi: 0.0100, loss: 0.4191, lr: 4.77e-06
     Epoch[0] Iteration[770/994], entropy: 1.0135, uncertainty: 5.7068, uncertainty_coeffi: 0.0100, loss: 0.3611, lr: 4.77e-06
