Not using distributed mode
### Hyper-parameters:
     output_dir: output_rerun2/ham_icfg_tta/exp18/exp0.0.0/2025092201380
     seed: 42
     device: cuda
     batch_size_tta: 16
     epochs: 10
     lr: 0.001
### Creating test dataset
     test_txt_set: 19848    test_img_set: 19848
     test_txt_loader: 39    test_img_loader: 39
### Creating model
Training Model with ['sdm', 'id', 'mlm'] tasks
===========================ERROR occur in copy visual.positional_embedding, torch.Size([197, 768])=========================
shape do not match in k :visual.positional_embedding: param_dicttorch.Size([197, 768]) vs self.state_dict()torch.Size([193, 768])
     Total Params Sum:  190482718
### Zero-Shot Score: 
+-------+--------+--------+--------+--------+-------+
| epoch |   R1   |   R5   |  R10   |  mAP   |  mINP |
+-------+--------+--------+--------+--------+-------+
|  -999 | 57.134 | 74.098 | 80.472 | 33.165 | 5.512 |
+-------+--------+--------+--------+--------+-------+
### TTA:
### Compute Cos Similarity Uncertainty
     preprocess_tta_coefficients  start
     sample selection ...
     number of sample after sample_selection: 14936
     uncertainty ...
     pos/neg sampling ...
      number of sample after pos/neg sampling: torch.Size([19848, 8])
     preprocess_tta_coefficients  end
### Creating TTA dataset
     tta_dataset: 14936
### Creating tta dataloader
### be careful: func create_loader returns a list length of 1
     tta_loader: 933
### Configure adapted weights
     TTA Dropout Modules: 
 []
     TTA Require Gradient Params: 
 [('prompt_learning_embedding', torch.Size([1, 1, 512]))]
     TTA Dropout Modules Number: 
 0
     TTA Require Gradient Params Sum: 
 512
Using 5.0 times learning rate for random init module 
### Start Test Time Adaptation : num_epoch = 10
     Epoch[0] Iteration[10/933], entropy: 0.5028, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.5028, lr: 9.55e-05
     Epoch[0] Iteration[20/933], entropy: 0.2947, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.2947, lr: 9.55e-05
     Epoch[0] Iteration[30/933], entropy: 0.2800, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.2800, lr: 9.55e-05
     Epoch[0] Iteration[40/933], entropy: 0.3552, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.3552, lr: 9.55e-05
     Epoch[0] Iteration[50/933], entropy: 0.4071, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.4071, lr: 9.55e-05
     Epoch[0] Iteration[60/933], entropy: 0.3608, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.3608, lr: 9.55e-05
     Epoch[0] Iteration[70/933], entropy: 0.3184, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.3184, lr: 9.55e-05
     Epoch[0] Iteration[80/933], entropy: 0.3355, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.3355, lr: 9.55e-05
     Epoch[0] Iteration[90/933], entropy: 0.5061, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.5061, lr: 9.55e-05
     Epoch[0] Iteration[100/933], entropy: 0.5552, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.5552, lr: 9.55e-05
     Epoch[0] Iteration[110/933], entropy: 0.2906, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.2906, lr: 9.55e-05
     Epoch[0] Iteration[120/933], entropy: 0.5419, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.5419, lr: 9.55e-05
     Epoch[0] Iteration[130/933], entropy: 0.4035, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.4035, lr: 9.55e-05
     Epoch[0] Iteration[140/933], entropy: 0.7223, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.7223, lr: 9.55e-05
     Epoch[0] Iteration[150/933], entropy: 0.5846, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.5846, lr: 9.55e-05
     Epoch[0] Iteration[160/933], entropy: 0.2960, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.2960, lr: 9.55e-05
     Epoch[0] Iteration[170/933], entropy: 0.3387, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.3387, lr: 9.55e-05
     Epoch[0] Iteration[180/933], entropy: 0.3094, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.3094, lr: 9.55e-05
     Epoch[0] Iteration[190/933], entropy: 0.2676, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.2676, lr: 9.55e-05
     Epoch[0] Iteration[200/933], entropy: 0.3001, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.3001, lr: 9.55e-05
     Epoch[0] Iteration[210/933], entropy: 0.2023, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.2023, lr: 9.55e-05
     Epoch[0] Iteration[220/933], entropy: 0.3942, uncertainty: 1.0000, uncertainty_coeffi: 1.0000, loss: 0.3942, lr: 9.55e-05
