/home/user/yc57963/miniconda3/envs/irra/lib/python3.9/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Not using distributed mode
### Hyper-parameters:
     output_dir: output_rerun2/ham_icfg_tta/exp8/exp8.2.3/2025091807374
     seed: 42
     device: cuda
     batch_size_tta: 16
     epochs: 10
     lr: 0.0005
### Creating test dataset
     test_txt_set: 19848    test_img_set: 19848
     test_txt_loader: 39    test_img_loader: 39
### Creating model
Training Model with ['sdm', 'id', 'mlm'] tasks
Resized position embedding from size:torch.Size([1, 197, 768]) to size: torch.Size([1, 193, 768]) with height:24 width: 8
     Total Params Sum:  190482206
### Zero-Shot Score:
/home/user/yc57963/miniconda3/envs/irra/lib/python3.9/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
/home/user/yc57963/task/IRRA/tta.py:284: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()  # bf16
+-------+--------+--------+--------+--------+-------+
| epoch |   R1   |   R5   |  R10   |  mAP   |  mINP |
+-------+--------+--------+--------+--------+-------+
|  -999 | 60.656 | 77.499 | 83.268 | 35.543 | 6.006 |
+-------+--------+--------+--------+--------+-------+
### TTA:
### Compute Cos Similarity Uncertainty
     preprocess_tta_coefficients  start
     sample selection ...
     number of sample after sample_selection: 19848
     uncertainty ...
     pos/neg sampling ...
      number of sample after pos/neg sampling: torch.Size([19848, 8])
     preprocess_tta_coefficients  end
### Creating TTA dataset
     tta_dataset: 19848
### Creating tta dataloader
### be careful: func create_loader returns a list length of 1
     tta_loader: 1240
### Configure adapted weights
     TTA Dropout Modules:
 []
     TTA Require Gradient Params:
 [('base_model.transformer.resblocks.1.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.1.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.2.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.3.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.4.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.5.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.7.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.8.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.9.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.10.ln_2.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_1.bias', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.weight', torch.Size([512])), ('base_model.transformer.resblocks.11.ln_2.bias', torch.Size([512])), ('base_model.ln_final.weight', torch.Size([512])), ('base_model.ln_final.bias', torch.Size([512]))]
     TTA Dropout Modules Number:
 0
     TTA Require Gradient Params Sum:
 21504
Using 5.0 times learning rate for random init module
### Start Test Time Adaptation : num_epoch = 10
/home/user/yc57963/task/IRRA/tta.py:67: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=True):
     Epoch[0] Iteration[10/1240], entropy: 0.6201, uncertainty: 3.4613, uncertainty_coeffi: 0.0001, loss: 0.1863, lr: 4.77e-05
     Epoch[0] Iteration[20/1240], entropy: 0.4703, uncertainty: 2.2479, uncertainty_coeffi: 0.0001, loss: 0.1978, lr: 4.77e-05
     Epoch[0] Iteration[30/1240], entropy: 0.7993, uncertainty: 3.8221, uncertainty_coeffi: 0.0001, loss: 0.2180, lr: 4.77e-05
     Epoch[0] Iteration[40/1240], entropy: 0.8073, uncertainty: 3.0148, uncertainty_coeffi: 0.0001, loss: 0.3497, lr: 4.77e-05
     Epoch[0] Iteration[50/1240], entropy: 0.5966, uncertainty: 3.5072, uncertainty_coeffi: 0.0001, loss: 0.1900, lr: 4.77e-05
     Epoch[0] Iteration[60/1240], entropy: 0.6172, uncertainty: 3.1147, uncertainty_coeffi: 0.0001, loss: 0.2457, lr: 4.77e-05
     Epoch[0] Iteration[70/1240], entropy: 0.6924, uncertainty: 3.5227, uncertainty_coeffi: 0.0001, loss: 0.2027, lr: 4.77e-05
     Epoch[0] Iteration[80/1240], entropy: 0.6353, uncertainty: 4.1782, uncertainty_coeffi: 0.0001, loss: 0.1999, lr: 4.77e-05
     Epoch[0] Iteration[90/1240], entropy: 0.4710, uncertainty: 3.4462, uncertainty_coeffi: 0.0001, loss: 0.1383, lr: 4.77e-05
     Epoch[0] Iteration[100/1240], entropy: 0.7375, uncertainty: 3.1886, uncertainty_coeffi: 0.0001, loss: 0.3455, lr: 4.77e-05
     Epoch[0] Iteration[110/1240], entropy: 0.4792, uncertainty: 2.3572, uncertainty_coeffi: 0.0001, loss: 0.2507, lr: 4.77e-05
     Epoch[0] Iteration[120/1240], entropy: 0.4782, uncertainty: 3.1427, uncertainty_coeffi: 0.0001, loss: 0.1734, lr: 4.77e-05
     Epoch[0] Iteration[130/1240], entropy: 0.5732, uncertainty: 4.0829, uncertainty_coeffi: 0.0001, loss: 0.1867, lr: 4.77e-05
     Epoch[0] Iteration[140/1240], entropy: 0.6338, uncertainty: 4.5630, uncertainty_coeffi: 0.0001, loss: 0.1802, lr: 4.77e-05
     Epoch[0] Iteration[150/1240], entropy: 0.5541, uncertainty: 3.2884, uncertainty_coeffi: 0.0001, loss: 0.2393, lr: 4.77e-05
     Epoch[0] Iteration[160/1240], entropy: 0.4595, uncertainty: 2.8410, uncertainty_coeffi: 0.0001, loss: 0.1897, lr: 4.77e-05
     Epoch[0] Iteration[170/1240], entropy: 0.5334, uncertainty: 3.3765, uncertainty_coeffi: 0.0001, loss: 0.1955, lr: 4.77e-05
     Epoch[0] Iteration[180/1240], entropy: 0.3498, uncertainty: 3.0185, uncertainty_coeffi: 0.0001, loss: 0.1135, lr: 4.77e-05
     Epoch[0] Iteration[190/1240], entropy: 0.4093, uncertainty: 2.5759, uncertainty_coeffi: 0.0001, loss: 0.1909, lr: 4.77e-05
     Epoch[0] Iteration[200/1240], entropy: 0.3534, uncertainty: 2.9441, uncertainty_coeffi: 0.0001, loss: 0.1445, lr: 4.77e-05
     Epoch[0] Iteration[210/1240], entropy: 0.6190, uncertainty: 3.5428, uncertainty_coeffi: 0.0001, loss: 0.2646, lr: 4.77e-05
     Epoch[0] Iteration[220/1240], entropy: 0.3873, uncertainty: 4.5149, uncertainty_coeffi: 0.0001, loss: 0.1023, lr: 4.77e-05
     Epoch[0] Iteration[230/1240], entropy: 0.4740, uncertainty: 2.7649, uncertainty_coeffi: 0.0001, loss: 0.2083, lr: 4.77e-05
     Epoch[0] Iteration[240/1240], entropy: 0.5080, uncertainty: 3.3466, uncertainty_coeffi: 0.0001, loss: 0.1873, lr: 4.77e-05
     Epoch[0] Iteration[250/1240], entropy: 0.6778, uncertainty: 3.2176, uncertainty_coeffi: 0.0001, loss: 0.2156, lr: 4.77e-05
     Epoch[0] Iteration[260/1240], entropy: 0.6443, uncertainty: 3.5147, uncertainty_coeffi: 0.0001, loss: 0.3108, lr: 4.77e-05
     Epoch[0] Iteration[270/1240], entropy: 0.4428, uncertainty: 4.1618, uncertainty_coeffi: 0.0001, loss: 0.1253, lr: 4.77e-05
     Epoch[0] Iteration[280/1240], entropy: 0.5231, uncertainty: 2.9723, uncertainty_coeffi: 0.0001, loss: 0.2160, lr: 4.77e-05
     Epoch[0] Iteration[290/1240], entropy: 0.5108, uncertainty: 3.0268, uncertainty_coeffi: 0.0001, loss: 0.1968, lr: 4.77e-05
     Epoch[0] Iteration[300/1240], entropy: 0.4824, uncertainty: 2.8151, uncertainty_coeffi: 0.0001, loss: 0.1766, lr: 4.77e-05
     Epoch[0] Iteration[310/1240], entropy: 0.5933, uncertainty: 2.0964, uncertainty_coeffi: 0.0001, loss: 0.3242, lr: 4.77e-05
     Epoch[0] Iteration[320/1240], entropy: 0.3897, uncertainty: 3.6236, uncertainty_coeffi: 0.0001, loss: 0.1248, lr: 4.77e-05
     Epoch[0] Iteration[330/1240], entropy: 0.7342, uncertainty: 2.9074, uncertainty_coeffi: 0.0001, loss: 0.3480, lr: 4.77e-05
     Epoch[0] Iteration[340/1240], entropy: 0.4332, uncertainty: 3.0677, uncertainty_coeffi: 0.0001, loss: 0.1509, lr: 4.77e-05
     Epoch[0] Iteration[350/1240], entropy: 0.5449, uncertainty: 3.5787, uncertainty_coeffi: 0.0001, loss: 0.1901, lr: 4.77e-05
     Epoch[0] Iteration[360/1240], entropy: 0.4925, uncertainty: 2.5502, uncertainty_coeffi: 0.0001, loss: 0.1779, lr: 4.77e-05
